,dataset,date,value
241,Temporary Employees could not find permanent job,2018,27.5
242,Temporary Employees could not find permanent job,2019,25.0
243,Temporary Employees could not find permanent job,2020,27.2
244,Temporary Employees could not find permanent job,2021,30.2
245,Temporary Employees could not find permanent job,2022,23.5
246,Temporary Employees could not find permanent job,2023,21.6
247,UK Job Vacancies,2002,518
248,UK Job Vacancies,2003,503
249,UK Job Vacancies,2004,548
250,UK Job Vacancies,2005,548
251,UK Job Vacancies,2006,529
252,UK Job Vacancies,2007,572
253,UK Job Vacancies,2008,556
254,UK Job Vacancies,2009,405
255,UK Job Vacancies,2010,422
256,UK Job Vacancies,2011,415
257,UK Job Vacancies,2012,421
258,UK Job Vacancies,2013,474
259,UK Job Vacancies,2014,583
260,UK Job Vacancies,2015,652
261,UK Job Vacancies,2016,672
262,UK Job Vacancies,2017,699
263,UK Job Vacancies,2018,741
264,UK Job Vacancies,2019,737
265,UK Job Vacancies,2020,504
266,UK Job Vacancies,2021,795
267,UK Job Vacancies,2022,1101
268,UK Job Vacancies,2023,911
269,Output per hour worked percentage change,1972,2.9
270,Output per hour worked percentage change,1973,4.6
271,Output per hour worked percentage change,1974,-1.8
272,Output per hour worked percentage change,1975,0.6
273,Output per hour worked percentage change,1976,3.8
274,Output per hour worked percentage change,1977,1.7
275,Output per hour worked percentage change,1978,3.1
276,Output per hour worked percentage change,1979,2.4
277,Output per hour worked percentage change,1980,0.1
278,Output per hour worked percentage change,1981,4.4
279,Output per hour worked percentage change,1982,4.5
280,Output per hour worked percentage change,1983,5.3
281,Output per hour worked percentage change,1984,-0.6
282,Output per hour worked percentage change,1985,2.9
283,Output per hour worked percentage change,1986,2.5
284,Output per hour worked percentage change,1987,3.0
285,Output per hour worked percentage change,1988,1.5
286,Output per hour worked percentage change,1989,-0.4
287,Output per hour worked percentage change,1990,1.0
288,Output per hour worked percentage change,1991,3.1
289,Output per hour worked percentage change,1992,3.2
290,Output per hour worked percentage change,1993,3.5
291,Output per hour worked percentage change,1994,1.7
292,Output per hour worked percentage change,1995,0.9
293,Output per hour worked percentage change,1996,2.1
294,Output per hour worked percentage change,1997,2.3
295,Output per hour worked percentage change,1998,2.6
296,Output per hour worked percentage change,1999,2.3
297,Output per hour worked percentage change,2000,4.2
298,Output per hour worked percentage change,2001,1.5
299,Output per hour worked percentage change,2002,1.8
300,Output per hour worked percentage change,2003,2.7
301,Output per hour worked percentage change,2004,1.3
302,Output per hour worked percentage change,2005,1.7
303,Output per hour worked percentage change,2006,1.9
304,Output per hour worked percentage change,2007,1.7
305,Output per hour worked percentage change,2008,-0.6
306,Output per hour worked percentage change,2009,-1.8
307,Output per hour worked percentage change,2010,1.8
308,Output per hour worked percentage change,2011,0.9
309,Output per hour worked percentage change,2012,-0.3
310,Output per hour worked percentage change,2013,-0.2
311,Output per hour worked percentage change,2014,0.5
312,Output per hour worked percentage change,2015,0.4
313,Output per hour worked percentage change,2016,0.7
314,Output per hour worked percentage change,2017,1.7
315,Output per hour worked percentage change,2018,0.5
316,Output per hour worked percentage change,2019,0.3
317,Output per hour worked percentage change,2020,0.8
318,Output per hour worked percentage change,2021,1.6
319,Output per hour worked percentage change,2022,0.4
320,Output per hour worked percentage change,2023,0.2
321,Public Sector Workforce size,1999,4310
322,Public Sector Workforce size,2000,4361
323,Public Sector Workforce size,2001,4428
324,Public Sector Workforce size,2002,4529
325,Public Sector Workforce size,2003,4664
326,Public Sector Workforce size,2004,4786
327,Public Sector Workforce size,2005,4871
328,Public Sector Workforce size,2006,4867
329,Public Sector Workforce size,2007,4864
330,Public Sector Workforce size,2008,4866
331,Public Sector Workforce size,2009,5264
332,Public Sector Workforce size,2010,5272
333,Public Sector Workforce size,2011,5113
334,Public Sector Workforce size,2012,4868
335,Public Sector Workforce size,2013,4845
336,Public Sector Workforce size,2014,4590
337,Public Sector Workforce size,2015,4551
338,Public Sector Workforce size,2016,4544
339,Public Sector Workforce size,2017,4547
340,Public Sector Workforce size,2018,4436
341,Public Sector Workforce size,2019,4490
342,Public Sector Workforce size,2020,4657
343,Public Sector Workforce size,2021,4787
344,Public Sector Workforce size,2022,4864
345,Public Sector Workforce size,2023,4986
346,Public Sector Workforce size,2024,5059
347,Time lost due to strike action,1891,6809
348,Time lost due to strike action,1892,7382
349,Time lost due to strike action,1893,30439
350,Time lost due to strike action,1894,9506
351,Time lost due to strike action,1895,5701
352,Time lost due to strike action,1896,3565
353,Time lost due to strike action,1897,10327
354,Time lost due to strike action,1898,15257
355,Time lost due to strike action,1899,2503
356,Time lost due to strike action,1900,3088
357,Time lost due to strike action,1901,4130
358,Time lost due to strike action,1902,3438
359,Time lost due to strike action,1903,2320
360,Time lost due to strike action,1904,1464
361,Time lost due to strike action,1905,2368
362,Time lost due to strike action,1906,3019
363,Time lost due to strike action,1907,2148
364,Time lost due to strike action,1908,10785
365,Time lost due to strike action,1909,2687
366,Time lost due to strike action,1910,9867
367,Time lost due to strike action,1911,10155
368,Time lost due to strike action,1912,40890
369,Time lost due to strike action,1913,9804
370,Time lost due to strike action,1914,9878
371,Time lost due to strike action,1915,2953
372,Time lost due to strike action,1916,2446
373,Time lost due to strike action,1917,5647
374,Time lost due to strike action,1918,5875
375,Time lost due to strike action,1919,34969
376,Time lost due to strike action,1920,26568
377,Time lost due to strike action,1921,85872
378,Time lost due to strike action,1922,19850
379,Time lost due to strike action,1923,10672
380,Time lost due to strike action,1924,8424
381,Time lost due to strike action,1925,7952
382,Time lost due to strike action,1926,162233
383,Time lost due to strike action,1927,1174
384,Time lost due to strike action,1928,1388
385,Time lost due to strike action,1929,8287
386,Time lost due to strike action,1930,4399
387,Time lost due to strike action,1931,6983
388,Time lost due to strike action,1932,6488
389,Time lost due to strike action,1933,1072
390,Time lost due to strike action,1934,959
391,Time lost due to strike action,1935,1955
392,Time lost due to strike action,1936,1829
393,Time lost due to strike action,1937,3413
394,Time lost due to strike action,1938,1334
395,Time lost due to strike action,1939,1356
396,Time lost due to strike action,1940,940
397,Time lost due to strike action,1941,1079
398,Time lost due to strike action,1942,1527
399,Time lost due to strike action,1943,1808
400,Time lost due to strike action,1944,3714
401,Time lost due to strike action,1945,2835
402,Time lost due to strike action,1946,2158
403,Time lost due to strike action,1947,2433
404,Time lost due to strike action,1948,1944
405,Time lost due to strike action,1949,1807
406,Time lost due to strike action,1950,1389
407,Time lost due to strike action,1951,1694
408,Time lost due to strike action,1952,1792
409,Time lost due to strike action,1953,2184
410,Time lost due to strike action,1954,2457
411,Time lost due to strike action,1955,3781
412,Time lost due to strike action,1956,2083
413,Time lost due to strike action,1957,8412
414,Time lost due to strike action,1958,3462
415,Time lost due to strike action,1959,5270
416,Time lost due to strike action,1960,3024
417,Time lost due to strike action,1961,3046
418,Time lost due to strike action,1962,5798
419,Time lost due to strike action,1963,1755
420,Time lost due to strike action,1964,2277
421,Time lost due to strike action,1965,2925
422,Time lost due to strike action,1966,2398
423,Time lost due to strike action,1967,2787
424,Time lost due to strike action,1968,4690
425,Time lost due to strike action,1969,6846
426,Time lost due to strike action,1970,10980
427,Time lost due to strike action,1971,13551
428,Time lost due to strike action,1972,23909
429,Time lost due to strike action,1973,7197
430,Time lost due to strike action,1974,14750
431,Time lost due to strike action,1975,6012
432,Time lost due to strike action,1976,3284
433,Time lost due to strike action,1977,10142
434,Time lost due to strike action,1978,9405
435,Time lost due to strike action,1979,29474
436,Time lost due to strike action,1980,11964
437,Time lost due to strike action,1981,4266
438,Time lost due to strike action,1982,5313
439,Time lost due to strike action,1983,3754
440,Time lost due to strike action,1984,27135
441,Time lost due to strike action,1985,6402
442,Time lost due to strike action,1986,1920
443,Time lost due to strike action,1987,3546
444,Time lost due to strike action,1988,3702
445,Time lost due to strike action,1989,4128
446,Time lost due to strike action,1990,1903
447,Time lost due to strike action,1991,761
448,Time lost due to strike action,1992,528
449,Time lost due to strike action,1993,649
450,Time lost due to strike action,1994,278
451,Time lost due to strike action,1995,415
452,Time lost due to strike action,1996,1303
453,Time lost due to strike action,1997,235
454,Time lost due to strike action,1998,282
455,Time lost due to strike action,1999,242
456,Time lost due to strike action,2000,499
457,Time lost due to strike action,2001,525
458,Time lost due to strike action,2002,1323
459,Time lost due to strike action,2003,499
460,Time lost due to strike action,2004,905
461,Time lost due to strike action,2005,157
462,Time lost due to strike action,2006,755
463,Time lost due to strike action,2007,1041
464,Time lost due to strike action,2008,759
465,Time lost due to strike action,2009,455
466,Time lost due to strike action,2010,365
467,Time lost due to strike action,2011,1390
468,Time lost due to strike action,2012,249
469,Time lost due to strike action,2013,444
470,Time lost due to strike action,2014,788
471,Time lost due to strike action,2015,170
472,Time lost due to strike action,2016,322
473,Time lost due to strike action,2017,276
474,Time lost due to strike action,2018,273
475,Time lost due to strike action,2019,234
476,Time lost due to strike action,2020,
477,Time lost due to strike action,2021,
478,Time lost due to strike action,2022,2514
479,Time lost due to strike action,2023,2660
